,importance,stddev,p_value,n,p99_high,p99_low
ETA_psi_1,0.001353985520649692,0.002074068247125716,0.18776359923950436,3,0.013238626577812874,-0.01053065553651349
AATSC5d,0.0013420325104416264,0.00016801471437350696,0.002591970336772744,3,0.002304775455577652,0.00037928956530560093
ETA_shape_y,0.0013389321831006236,0.0006490127552952472,0.035087509595660274,3,0.005057847242377826,-0.0023799828761765793
Si,0.0013383456216746008,0.0008714844293743077,0.05851978624782161,3,0.0063320480441352136,-0.0036553568007860115
nRot,0.0013362904761891798,0.0038697009408658685,0.30523716233716747,3,0.023510105992863396,-0.020837525040485038
SsCH3,0.0013215207524956973,0.001715385847123404,0.15686317687682105,3,0.011150871882021835,-0.00850783037703044
MAXaaCH,0.0013213491117871623,0.0015443546513380522,0.13827745302093394,3,0.010170672523178574,-0.007527974299604249
MATS2i,0.0013144545560452487,0.00018741867615884564,0.003354253974323129,3,0.0023883843539886703,0.00024052475810182696
AATSC6m,0.0013110895301957637,0.001534005457098159,0.13846214215782646,3,0.010101110910931991,-0.007478931850540464
NdCH2,0.001295229989458783,0.0005440876702320873,0.02704572379853994,3,0.004412912675791613,-0.0018224526968740474
AMID_h,0.0012950412668227829,0.0012103161818708184,0.10250928731009377,3,0.008230287205400155,-0.005640204671754589
AATS8pe,0.0012942440419816403,0.001272920474218385,0.11014519722297705,3,0.008588219518133114,-0.005999731434169832
apol,0.0012667297707551854,0.0008681800427890299,0.06367320357245725,3,0.006241497691646452,-0.003708038150136081
GATS6se,0.0012571968034698806,0.0005545476604177519,0.029579602411624804,3,0.004434816393513738,-0.0019204227865739774
MATS1i,0.0012564390836109496,0.0013910579615106682,0.12908760443326675,3,0.009227355462652038,-0.006714477295430139
GATS3m,0.0012420935284079098,0.00080165359703275,0.05766042027074414,3,0.005835657537750986,-0.0033514704809351663
fragCpx,0.0012301151245585062,0.0007926391381622614,0.057505035618712785,3,0.005772025284926851,-0.003311795035809839
SpMAD_Dzare,0.0012292371617840248,0.001731327108923865,0.17191063313474364,3,0.011149933489212544,-0.008691459165644495
AETA_eta_BR,0.0012163614917336159,0.0004663342887921762,0.022832369917310382,3,0.003888508680054444,-0.001455785696587212
GATS3pe,0.0012160815667027574,0.001786181704045394,0.1797929991347299,3,0.01145110080720747,-0.009018937673801956
AATS6d,0.0012126181001022769,0.0005762260471457352,0.03385663965714497,3,0.004514457250094315,-0.002089221049889762
ATSC6c,0.0012124859048364318,0.0014368689386213692,0.14067303060661876,3,0.009445904262871271,-0.007020932453198407
ETA_dEpsilon_C,0.0012124141538994253,0.0012983699681750817,0.12359663120482396,3,0.008652218052611696,-0.006227389744812846
GATS1pe,0.001204016180924176,0.0009504080196925837,0.07972773213986133,3,0.006649959528038632,-0.00424192716619028
NssCH2,0.0012025227181227856,0.0014881593852290578,0.14828731571561055,3,0.009729841023007842,-0.00732479558676227
AATSC5se,0.0012012960193500029,0.001467575766224503,0.14600112323826406,3,0.009610667904744984,-0.0072080758660449775
Mare,0.001189163166701368,0.00029968450738878706,0.010260391589520704,3,0.0029063886271674328,-0.000528062293764697
